id,name,slug,type,category,area,description,detailedDescription,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,amenities,featured,googleMapsUrl
16,Mac’s Country Store,macs-country-store,Markets & Delis,,Roseland,"Country store at the crossroads of Routes 151 and 56 with breakfast, lunch, dinner plates, famous fried chicken, and antiques for sale.","Country store at the crossroads of Routes 151 and 56 with breakfast, lunch, dinner plates, famous fried chicken, and antiques for sale.",https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image1_Gk_Ua_dFF,Storefront of Mac’s Country Store,,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image2_YzwsuX-Df,Interior of Mac’s Country Store,,https://ik.imagekit.io/OE/nelson-county/listings/mac-s-country-store-image3_SvqK4KDnb,Interior of Mac’s Country Store,,,(434) 277-5305,"7023 Patrick Henry Highway, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967,Breakfast; Lunch; Dinner; Takeout; Market; Deli,false,https://www.google.com/maps/dir/?api=1&destination=7023%20Patrick%20Henry%20Highway%2C%20Roseland%2C%20VA%2022967
17,Subway,subway,Markets & Delis,,Lovingston,"Subway franchise in Annie Land Plaza making customizable sandwiches, salads, and wraps seven days a week.","Subway franchise in Annie Land Plaza making customizable sandwiches, salads, and wraps seven days a week.",https://ik.imagekit.io/OE/nelson-county/listings/subway-image1_ASH5hYhT2,Exterior view of Subway,,https://ik.imagekit.io/OE/nelson-county/listings/subway-image2_FsH2B7eDE,Interior view of Subway,,,,,https://restaurants.subway.com/united-states/va/lovingston/65-callohill-drive,(434) 263-6800,"65 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,Deli; Market,false,https://www.google.com/maps/dir/?api=1&destination=65%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
18,The Market at Wintergreen,the-market-at-wintergreen,Markets & Delis,,Wintergreen Resort,"Wintergreen Resort’s convenience market offering groceries, deli meals, branded apparel, and fuel for mountain guests.","Wintergreen Resort’s convenience market offering groceries, deli meals, branded apparel, and fuel for mountain guests.",https://ik.imagekit.io/OE/nelson-county/listings/the-market-at-wintergreen-image1_mYJhz6AkM,Storefront of The Market at Wintergreen,,,,,,,,,(434) 325-8224,"189 Mountain Inn Loop, Wintergreen, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958,Deli; Resort; Fuel; Market,false,https://www.google.com/maps/dir/?api=1&destination=189%20Mountain%20Inn%20Loop%2C%20Wintergreen%2C%20VA%2022958
19,Williams Grocery,williams-grocery,Markets & Delis,,Schuyler,"Rural grocery and gas station carrying local honey, bait, and fishing supplies alongside everyday essentials.","Rural grocery and gas station carrying local honey, bait, and fishing supplies alongside everyday essentials.",https://ik.imagekit.io/OE/nelson-county/listings/williams-grocery-image1_7ZxBQDA49,Storefront of Williams Grocery,,,,,,,,,(434) 263-4746,"439 Williamstown Road, Shipman, VA 22971",josh,,,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971,Retail; Fuel; Local Ingredients; Market; Deli; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=439%20Williamstown%20Road%2C%20Shipman%2C%20VA%2022971
20,Ann’s Family Restaurant,anns-family-restaurant,Restaurants,,Arrington,Ann’s Family Restaurant serves classic country cooking with daily specials and fresh vegetables for dine-in comfort in Arrington.,Ann’s Family Restaurant serves classic country cooking with daily specials and fresh vegetables for dine-in comfort in Arrington.,https://ik.imagekit.io/OE/nelson-county/listings/ann-s-family-restaurant-image1_wg1eO0bow,Exterior of Ann’s Family Restaurant restaurant,,,,,,,,,(434) 263-8110,"1170 Thomas Nelson Highway, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922,Family Friendly,false,https://www.google.com/maps/dir/?api=1&destination=1170%20Thomas%20Nelson%20Highway%2C%20Arrington%2C%20VA%2022922
21,Basic Necessities,basic-necessities,Restaurants,,Nellysford,"Basic Necessities is a European-inspired café, wine, and cheese shop in the Rockfish Valley serving soups, salads, seasonal dinners with live music, and a popular Sunday brunch.","Basic Necessities is an off-beat café, wine and cheese shop nestled in the Rockfish Valley of the Blue Ridge Mountains near Nellysford, Virginia. Since 1997 it has been offering what many call a taste of Europe in the Blue Ridge Mountains. It is known for in great wines at affordable prices, imported cheeses, a source of fresh local baked breads, and delicious meals in a colorful and creative atmosphere. The staff welcomes locals, skiers at Wintergreen Resort, traveling foodies, and those simply exploring beautiful Nelson County. At lunch they have long featured Sue Pfaltz's delicious and innovative soups, big house salads, and seasonal specialties. Reservations are advised for Friday and Saturday night dinners where guests find creatively-prepared dishes and musical entertainment. The popular Sunday brunch is from 10-2 and frequently features a harpist during the middle of the day.",https://ik.imagekit.io/OE/nelson-county/listings/basic-necessities-image1_xjB3aTYi6,Exterior view of Basic Necessities,,,,,,,,,(434) 361-1776,"2226 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Wine; Retail; Dinner; Live Music; Brunch,false,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
22,Blue Mountain Brewery,blue-mountain-brewery,Breweries & Cideries,,Afton,Route 151 brewpub pouring flagship and seasonal ales alongside a from-scratch kitchen with sweeping Blue Ridge views.,Route 151 brewpub pouring flagship and seasonal ales alongside a from-scratch kitchen with sweeping Blue Ridge views.,https://ik.imagekit.io/OE/nelson-county/listings/blue-mountain-brewery-image1_tGxjiiEoX,Exterior view of Blue Mountain Brewery,,,,,,,,https://www.bluemountainbrewery.com/,(540) 456-8020,"9519 Critzers Shop Road, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,Outdoor Seating; Events; Family Friendly; Tastings; Scenic Views; Full Kitchen; Beer; Cider,false,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920
23,Blue Ridge Pig,blue-ridge-pig,Restaurants,,Nellysford,"Blue Ridge Pig is a roadside smokehouse known for Strawberry Goodwin’s on-site smoked meats, from classic pulled pork with slaw to Turkey Croissants with signature dill sauce.","Blue Ridge Pig is a roadside smokehouse known for Strawberry Goodwin’s on-site smoked meats, from classic pulled pork with slaw to Turkey Croissants with signature dill sauce.",https://ik.imagekit.io/OE/nelson-county/listings/blue-ridge-pig-image1_yZZLDI6Ia,Exterior view of Blue Ridge Pig,,,,,,,,,(434) 361-1170,"2198 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,BBQ; Takeout; Scenic Views,false,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
24,Bold Kitchen at Bold Rock,bold-kitchen-at-bold-rock,Restaurants,,Nellysford,"Bold Kitchen at Bold Rock serves scratch-made pub fare, sharable plates, and seasonal specials alongside cider flights inside the Bold Rock Cider Barn on Nelson 151.","Bold Kitchen at Bold Rock serves scratch-made pub fare, sharable plates, and seasonal specials alongside cider flights inside the Bold Rock Cider Barn on Nelson 151.",https://ik.imagekit.io/OE/nelson-county/listings/bold-kitchen-at-bold-rock-image1_XleEsXz-D,Exterior of Bold Kitchen at Bold Rock brewery,,,,,,,,,,"1020 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Bar; Cider; Tastings; Full Kitchen,false,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
25,Chen’s Restaurant,chens-restaurant,Restaurants,,Lovingston,"Chen’s Restaurant in Lovingston prepares made-to-order Chinese favorites for dine-in or takeout, with weekday lunch specials in Annie Land Plaza just off Route 29.","Chen’s Restaurant in Lovingston prepares made-to-order Chinese favorites for dine-in or takeout, with weekday lunch specials in Annie Land Plaza just off Route 29.",https://ik.imagekit.io/OE/nelson-county/listings/chen-s-restaurant-image1_yGrDjUjGy,Exterior of Chen’s Restaurant restaurant,,,,,,,,,(434) 263-8865,"73 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,Takeout; Lunch,false,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
26,Chirio’s Pizza,chirios-pizza,Restaurants,,Nellysford,"Chirio’s Pizza is Nelson County’s longest-running pizzeria, serving New York-style pies, subs, salads, and ice cream with eat-in, takeout, and delivery options from Valley Green Shopping Center.","Chirio’s Pizza is Nelson County’s longest-running pizzeria, serving New York-style pies, subs, salads, and ice cream with eat-in, takeout, and delivery options from Valley Green Shopping Center.",https://ik.imagekit.io/OE/nelson-county/listings/chirio-s-pizza-image1_UVtpKdV9N,Storefront of Chirio’s Pizza,,,,,,,,,(434) 361-9188,"2777 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Family Friendly; Takeout; Delivery; Desserts; Pizza,false,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
27,Coquito Kitchen,coquito-kitchen,Restaurants,,Nellysford,"Coquito Kitchen blends Argentine and Southern comfort fare out of the Rockfish Valley Community Center, offering lunch Thursday through Saturday with rotating empanadas, sandwiches, and sides.","Coquito Kitchen blends Argentine and Southern comfort fare out of the Rockfish Valley Community Center, offering lunch Thursday through Saturday with rotating empanadas, sandwiches, and sides.",https://ik.imagekit.io/OE/nelson-county/listings/coquito-kitchen-image1_0G55fEaHh,Exterior view of Coquito Kitchen,,,,,,,,,,"190 Rockfish School Lane, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920,Lunch; Full Kitchen,false,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920
28,Devils Backbone Brewing,devils-backbone-brewing,Restaurants,,Roseland,"Devils Backbone Basecamp pairs a wood-fired kitchen with 16 taps of house beer, coffee bar mornings, and meadow seating for concerts and events.","Devils Backbone Basecamp pairs a wood-fired kitchen with 16 taps of house beer, coffee bar mornings, and meadow seating for concerts and events.",https://ik.imagekit.io/OE/nelson-county/listings/devils-backbone-brewing-image1_fuU0b-q4C,Exterior of Devils Backbone Brewing restaurant,,,,,,,,https://www.dbbrewingcompany.com/visit/basecamp/,(434) 361-1001,"200 Mosbys Run, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,Beer; Outdoor Seating; Live Music; Full Kitchen; Coffee; Tea,false,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967
29,El Mariachi Mexican Food,el-mariachi-mexican-food,Restaurants,,Lovingston,El Mariachi Mexican Food serves classic Mexican dishes in Lovingston with weekday and weekend hours extending to 10 pm and gift certificates available.,El Mariachi Mexican Food serves classic Mexican dishes in Lovingston with weekday and weekend hours extending to 10 pm and gift certificates available.,https://ik.imagekit.io/OE/nelson-county/listings/el-mariachi-mexican-food-image1_lrhnaZQny,Exterior view of El Mariachi Mexican Food,,,,,,,,,(434) 263-5999,"165 Front Street, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,Retail; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949
30,Fire & Frost Wood Fired Bakehouse,fire-frost-wood-fired-bakehouse,Restaurants,,Nellysford,Fire & Frost Wood Fired Bakehouse brings wood-fired pizzas and Italian-inspired fare to Wintergreen Resort in a warm alpine setting.,Fire & Frost Wood Fired Bakehouse brings wood-fired pizzas and Italian-inspired fare to Wintergreen Resort in a warm alpine setting.,https://ik.imagekit.io/OE/nelson-county/listings/fire-frost-wood-fired-bakehouse-image1_pWDMelTVX,Exterior view of Fire & Frost Wood Fired Bakehouse,,,,,,,,,(434) 326-5639,"121 Blue Ridge Drive, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967,Scenic Views; Resort; Pizza,false,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967
31,Iron and Ale,iron-and-ale,Restaurants,,Nellysford,"Iron & Ale is a chef-driven bistro in Stoney Creek offering rotating menus, patio dining, and curated wine and beer lists for date nights and gatherings.","Iron & Ale is a chef-driven bistro in Stoney Creek offering rotating menus, patio dining, and curated wine and beer lists for date nights and gatherings.",https://ik.imagekit.io/OE/nelson-county/listings/iron-and-ale-image1_Phj7hhJ9W,Exterior of Iron and Ale restaurant,,,,,,,,,(540) 440-2140,"1354 Stoney Creek West, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958,Seasonal Menu; Wine; Outdoor Seating; Beer,false,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958
