id,name,type,area,description,image1,image2,image3,website,phone,address,amenities,featured,slug,authorName,publishedDate,modifiedDate,status,directionsLink,detailedDescription,externalWebsite
653,Basic Necessities,Restaurants,Nellysford,"Basic Necessities is a European-inspired café, wine, and cheese shop in the Rockfish Valley serving soups, salads, seasonal dinners with live music, and a popular Sunday brunch.",https://ik.imagekit.io/OE/nelson-county/Basic-Necessities-e1758127777467.jpg,,,https://nelsoncounty.com/explore/basic-necessities/,(434) 361-1776,"2226 Rockfish Valley Highway, Nellysford, VA 22958",Wine; Retail; Dinner; Live Music; Brunch,FALSE,basic-necessities,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=2226%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Basic Necessities is an off-beat café, wine and cheese shop nestled in the Rockfish Valley of the Blue Ridge Mountains near Nellysford, Virginia. Since 1997 it has been offering what many call ""a taste of Europe in the Blue Ridge Mountains."" It is known for in great wines at affordable prices, imported cheeses, a source of fresh local baked breads, and delicious meals in a colorful and creative atmosphere. The staff welcomes locals, skiers at Wintergreen Resort, traveling foodies, and those simply exploring beautiful Nelson County. At lunch they have long featured Sue Pfaltz's delicious and innovative soups, big house salads, and seasonal specialties. Reservations are advised for Friday and Saturday night dinners where guests find creatively-prepared dishes and musical entertainment. The popular Sunday brunch is from 10-2 and frequently features a harpist during the middle of the day.",
656,Blue Mountain Brewery,Breweries & Cideries,Afton,Route 151 brewpub pouring flagship and seasonal ales alongside a from-scratch kitchen with sweeping Blue Ridge views.,https://ik.imagekit.io/OE/nelson-county/Blue-Mountain-Brewery.jpg,,,https://www.bluemountainbrewery.com/,(540) 456-8020,"9519 Critzers Shop Road, Afton, VA 22920",Outdoor Seating; Events; Family Friendly; Tastings; Scenic Views; Full Kitchen; Beer; Cider,FALSE,blue-mountain-brewery,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=9519%20Critzers%20Shop%20Road%2C%20Afton%2C%20VA%2022920,Route 151 brewpub pouring flagship and seasonal ales alongside a from-scratch kitchen with sweeping Blue Ridge views.,https://www.bluemountainbrewery.com/
660,Blue Ridge Pig,Restaurants,Nellysford,"Blue Ridge Pig is a roadside smokehouse known for Strawberry Goodwin’s on-site smoked meats, from classic pulled pork with slaw to Turkey Croissants with signature dill sauce.",https://ik.imagekit.io/OE/nelson-county/Blue-Ridge-Pig.jpg,,,https://nelsoncounty.com/explore/blue-ridge-pig/,(434) 361-1170,"2198 Rockfish Valley Highway, Nellysford, VA 22958",BBQ; Takeout; Scenic Views,FALSE,blue-ridge-pig,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=2198%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Blue Ridge Pig is a roadside smokehouse known for Strawberry Goodwin’s on-site smoked meats, from classic pulled pork with slaw to Turkey Croissants with signature dill sauce.",
663,Bold Kitchen at Bold Rock,Restaurants,Nellysford,"Bold Kitchen at Bold Rock serves scratch-made pub fare, sharable plates, and seasonal specials alongside cider flights inside the Bold Rock Cider Barn on Nelson 151.",https://ik.imagekit.io/OE/nelson-county/Bold-Kitchen-at-Bold-Rock.jpg,,,https://nelsoncounty.com/?post_type=portfolio&p=663,,"1020 Rockfish Valley Highway, Nellysford, VA 22958",Bar; Cider; Tastings; Full Kitchen,FALSE,bold-kitchen-at-bold-rock,josh,1970-01-01,2024-05-17,draft,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Bold Kitchen at Bold Rock serves scratch-made pub fare, sharable plates, and seasonal specials alongside cider flights inside the Bold Rock Cider Barn on Nelson 151.",
666,Chen’s Restaurant,Restaurants,Lovingston,"Chen’s Restaurant in Lovingston prepares made-to-order Chinese favorites for dine-in or takeout, with weekday lunch specials in Annie Land Plaza just off Route 29.",https://ik.imagekit.io/OE/nelson-county/Chens-Restaurant.jpg,,,https://nelsoncounty.com/explore/chens-restaurant/,(434) 263-8865,"73 Callohill Drive, Lovingston, VA 22949",Takeout; Lunch,FALSE,chens-restaurant,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=73%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,"Chen’s Restaurant in Lovingston prepares made-to-order Chinese favorites for dine-in or takeout, with weekday lunch specials in Annie Land Plaza just off Route 29.",
669,Chirio’s Pizza,Restaurants,Nellysford,"Chirio’s Pizza is Nelson County’s longest-running pizzeria, serving New York-style pies, subs, salads, and ice cream with eat-in, takeout, and delivery options from Valley Green Shopping Center.",https://ik.imagekit.io/OE/nelson-county/Chirios-Pizza.jpg,,,https://nelsoncounty.com/explore/chirios-pizza/,(434) 361-9188,"2777 Rockfish Valley Highway, Nellysford, VA 22958",Family Friendly; Takeout; Delivery; Desserts; Pizza,FALSE,chirios-pizza,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=2777%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,"Chirio’s Pizza is Nelson County’s longest-running pizzeria, serving New York-style pies, subs, salads, and ice cream with eat-in, takeout, and delivery options from Valley Green Shopping Center.",
672,Coquito Kitchen,Restaurants,Nellysford,"Coquito Kitchen blends Argentine and Southern comfort fare out of the Rockfish Valley Community Center, offering lunch Thursday through Saturday with rotating empanadas, sandwiches, and sides.",https://ik.imagekit.io/OE/nelson-county/Coquito-Kitchen.jpg,,,https://nelsoncounty.com/explore/coquito-kitchen/,,"190 Rockfish School Lane, Afton, VA 22920",Lunch; Full Kitchen,FALSE,coquito-kitchen,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=190%20Rockfish%20School%20Lane%2C%20Afton%2C%20VA%2022920,"Coquito Kitchen blends Argentine and Southern comfort fare out of the Rockfish Valley Community Center, offering lunch Thursday through Saturday with rotating empanadas, sandwiches, and sides.",
675,Devils Backbone Brewing,Restaurants,Roseland,"Devils Backbone Basecamp pairs a wood-fired kitchen with 16 taps of house beer, coffee bar mornings, and meadow seating for concerts and events.",https://ik.imagekit.io/OE/nelson-county/Devils-Backbone-Brewing.jpg,,,https://www.dbbrewingcompany.com/visit/basecamp/,(434) 361-1001,"200 Mosbys Run, Roseland, VA 22967",Beer; Outdoor Seating; Live Music; Full Kitchen; Coffee; Tea,FALSE,devils-backbone-brewing,josh,2024-05-17,2024-05-18,publish,https://www.google.com/maps/dir/?api=1&destination=200%20Mosbys%20Run%2C%20Roseland%2C%20VA%2022967,"Devils Backbone Basecamp pairs a wood-fired kitchen with 16 taps of house beer, coffee bar mornings, and meadow seating for concerts and events.",https://www.dbbrewingcompany.com/visit/basecamp/
678,El Mariachi Mexican Food,Restaurants,Lovingston,El Mariachi Mexican Food serves classic Mexican dishes in Lovingston with weekday and weekend hours extending to 10 pm and gift certificates available.,https://ik.imagekit.io/OE/nelson-county/El-Mariachi-Mexican-Food.jpg,,,https://nelsoncounty.com/explore/el-mariachi-mexican-food/,(434) 263-5999,"165 Front Street, Lovingston, VA 22949",Retail; Local Ingredients,FALSE,el-mariachi-mexican-food,josh,2024-05-17,2025-05-13,publish,https://www.google.com/maps/dir/?api=1&destination=165%20Front%20Street%2C%20Lovingston%2C%20VA%2022949,El Mariachi Mexican Food serves classic Mexican dishes in Lovingston with weekday and weekend hours extending to 10 pm and gift certificates available.,
681,Fire & Frost Wood Fired Bakehouse,Restaurants,Nellysford,Fire & Frost Wood Fired Bakehouse brings wood-fired pizzas and Italian-inspired fare to Wintergreen Resort in a warm alpine setting.,https://ik.imagekit.io/OE/nelson-county/Fire-Frost-Wood-Fired-Bakehouse.jpg,,,https://nelsoncounty.com/explore/fire-frost-wood-fired-bakehouse/,(434) 326-5639,"121 Blue Ridge Drive, Roseland, VA 22967",Scenic Views; Resort; Pizza,FALSE,fire-frost-wood-fired-bakehouse,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=121%20Blue%20Ridge%20Drive%2C%20Roseland%2C%20VA%2022967,Fire & Frost Wood Fired Bakehouse brings wood-fired pizzas and Italian-inspired fare to Wintergreen Resort in a warm alpine setting.,
688,Iron and Ale,Restaurants,Nellysford,"Iron & Ale is a chef-driven bistro in Stoney Creek offering rotating menus, patio dining, and curated wine and beer lists for date nights and gatherings.",https://ik.imagekit.io/OE/nelson-county/Iron-and-Ale.jpg,,,https://nelsoncounty.com/explore/iron-and-ale/,(540) 440-2140,"1354 Stoney Creek West, Nellysford, VA 22958",Seasonal Menu; Wine; Outdoor Seating; Beer,FALSE,iron-and-ale,josh,2024-05-17,2024-08-12,publish,https://www.google.com/maps/dir/?api=1&destination=1354%20Stoney%20Creek%20West%2C%20Nellysford%2C%20VA%2022958,"Iron & Ale is a chef-driven bistro in Stoney Creek offering rotating menus, patio dining, and curated wine and beer lists for date nights and gatherings.",
691,McDonald’s,Restaurants,Lovingston,"McDonald’s in Lovingston serves breakfast, lunch, and dinner daily with extended hours to midnight on Fridays and Saturdays along Route 29.",https://ik.imagekit.io/OE/nelson-county/McDonalds.jpg,,,https://nelsoncounty.com/explore/mcdonalds/,(434) 263-8066,"44 Callohill Drive, Lovingston, VA 22949",Drive-Thru; Breakfast; Lunch; Dinner,FALSE,mcdonalds,josh,2024-05-17,2024-06-12,publish,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,"McDonald’s in Lovingston serves breakfast, lunch, and dinner daily with extended hours to midnight on Fridays and Saturdays along Route 29.",
694,Montebello Country Store & Cafe,Restaurants,Montebello,"Montebello Country Store & Cafe is a fifth-generation general store near Crabtree Falls with groceries, camping supplies, and a cafe serving chili and country fare.",https://ik.imagekit.io/OE/nelson-county/Montebello-Country-Store-Cafe.jpg,,,https://nelsoncounty.com/explore/montebello-country-store-cafe/,(540) 377-2650,"15072 Crabtree Falls Highway, Montebello, VA 24464",Retail; Family Friendly; Water Sports,FALSE,montebello-country-store-cafe,josh,2024-05-17,2025-04-28,publish,https://www.google.com/maps/dir/?api=1&destination=15072%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464,"Montebello Country Store & Cafe is a fifth-generation general store near Crabtree Falls with groceries, camping supplies, and a cafe serving chili and country fare.",
698,Paulie's Pig Out,Restaurants,Afton,"Paulie’s Pig Out is an Afton barbecue joint serving smoked pork and chicken platters, classic sides, and homemade desserts along Route 151.",https://ik.imagekit.io/OE/nelson-county/Paulies-Pig-Out.jpg,,,https://nelsoncounty.com/explore/paulies-pig-out/,(434) 361-2001,"7376 Rockfish Valley Highway, Afton, VA 22920",BBQ,FALSE,paulies-pig-out,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=7376%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,"Paulie’s Pig Out is an Afton barbecue joint serving smoked pork and chicken platters, classic sides, and homemade desserts along Route 151.",
701,Smokin’ Barrel Restaurant,Restaurants,Arrington,"Smokin’ Barrel Restaurant operates inside Blue Mountain Barrel House with pub fare, BBQ plates, burgers, soups, and desserts for taproom guests.",https://ik.imagekit.io/OE/nelson-county/Smokin-Barrel-Restaurant.jpg,,,https://nelsoncounty.com/explore/smokin-barrel-restaurant/,(434) 226-2450,"495 Cooperative Way, Arrington, VA 22922",Beer; Scenic Views; BBQ; Bar; Family Friendly; Full Kitchen,FALSE,smokin-barrel-restaurant,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922,"Smokin’ Barrel Restaurant operates inside Blue Mountain Barrel House with pub fare, BBQ plates, burgers, soups, and desserts for taproom guests.",
704,The Copper Mine Bistro,Restaurants,Roseland,"The Copper Mine Bistro anchors Wintergreen’s Blackrock Village with traditional breakfast, Mediterranean-inspired dinners, and weekend lunches during ski season.",https://ik.imagekit.io/OE/nelson-county/The-Copper-Mine-Bistro.jpg,https://ik.imagekit.io/OE/nelson-county/The-Edge.jpg,,https://nelsoncounty.com/explore/the-copper-mine-bistro/,(434) 325-8090,"39 Wintergreen Drive, Roseland, VA 22967",Breakfast; Lunch; Seasonal Menu; Dinner,FALSE,the-copper-mine-bistro,josh,2024-05-17,2024-06-13,publish,https://www.google.com/maps/dir/?api=1&destination=39%20Wintergreen%20Drive%2C%20Roseland%2C%20VA%2022967,"The Copper Mine Bistro anchors Wintergreen’s Blackrock Village with traditional breakfast, Mediterranean-inspired dinners, and weekend lunches during ski season.",
